time,P,T,RH,LAT,LON,WD,WS
2019-07-14 13:24:57,1004.62,36.41,54.78,,,31.11,0.35
2019-07-14 13:24:58,1004.52,36.42,54.63,,,91.45,0.71
2019-07-14 13:25:07,1001.62,36.22,54.23,,,150.80,7.37
2019-07-14 13:25:08,1001.05,36.17,54.26,,,,
2019-07-14 13:25:09,1000.38,36.11,54.32,,,,
2019-07-14 13:25:10,999.62,36.04,54.39,,,195.62,8.86
2019-07-14 13:25:11,998.77,35.96,54.48,,,203.58,8.94
2019-07-14 13:25:12,997.84,35.86,54.58,,,208.06,7.72
2019-07-14 13:25:13,996.85,35.76,54.70,,,211.57,5.64
2019-07-14 13:25:14,995.87,35.65,54.82,,,218.13,3.85
2019-07-14 13:25:16,994.15,35.45,55.05,,,,
2019-07-14 13:25:17,993.41,35.36,55.19,,,231.95,3.31
2019-07-14 13:25:18,992.66,35.27,55.35,,,,
2019-07-14 13:25:19,991.81,35.16,55.57,,,242.86,4.92
2019-07-14 13:25:20,990.80,35.05,55.84,,,251.96,6.41
2019-07-14 13:25:21,989.65,34.92,56.15,,,257.02,8.45
2019-07-14 13:25:22,988.41,34.78,56.45,,,,
2019-07-14 13:25:23,987.23,34.64,56.74,,,257.32,10.71
2019-07-14 13:25:24,986.23,34.51,56.99,,,253.51,9.34
2019-07-14 13:25:25,985.42,34.38,57.22,,,247.67,7.26
2019-07-14 13:25:27,984.23,34.16,57.65,,,249.80,4.02
2019-07-14 13:25:28,983.69,34.05,57.90,,,274.75,3.96
2019-07-14 13:25:29,983.13,33.94,58.17,,,292.99,5.59
2019-07-14 13:25:31,981.99,33.76,58.74,,,289.66,8.82
2019-07-14 13:25:32,981.41,33.69,59.01,,,,
2019-07-14 13:25:33,980.82,33.61,59.27,,,264.29,9.05
2019-07-14 13:25:34,980.23,33.53,59.51,,,247.76,8.66
2019-07-14 13:25:35,979.63,33.46,59.72,,,235.69,8.10
2019-07-14 13:25:37,978.35,33.30,60.12,,,226.87,6.51
2019-07-14 13:25:39,976.88,33.12,60.60,,,233.37,6.40
2019-07-14 13:25:40,976.13,33.02,60.88,,,235.48,6.76
2019-07-14 13:25:41,975.46,32.93,61.15,,,237.56,6.89
2019-07-14 13:25:43,974.34,32.79,61.63,,,247.81,6.09
2019-07-14 13:25:44,973.81,32.75,61.83,,,252.67,6.55
2019-07-14 13:25:45,973.24,32.70,62.01,,,254.26,7.90
2019-07-14 13:25:46,972.59,32.65,62.17,,,254.36,9.50
2019-07-14 13:25:47,971.88,32.59,62.32,,,254.33,10.76
2019-07-14 13:25:48,971.10,32.52,62.48,,,254.75,11.31
2019-07-14 13:25:49,970.27,32.44,62.65,,,256.05,10.66
2019-07-14 13:25:50,969.41,32.35,62.82,,,257.17,9.10
2019-07-14 13:25:51,968.57,32.26,63.00,,,254.83,7.37
2019-07-14 13:25:52,967.81,32.16,63.17,,,245.90,6.19
2019-07-14 13:25:54,966.57,31.99,63.52,,,224.07,6.67
2019-07-14 13:25:55,966.02,31.92,63.70,,,217.93,7.59
2019-07-14 13:25:56,965.46,31.85,63.90,,,212.34,8.14
2019-07-14 13:25:57,964.85,31.77,64.09,,,206.67,8.29
2019-07-14 13:25:58,964.23,31.69,64.28,,,201.16,8.14
2019-07-14 13:25:59,963.61,31.61,64.44,,,195.62,7.82
2019-07-14 13:26:00,963.03,31.53,64.60,,,190.53,7.59
2019-07-14 13:26:01,962.46,31.45,64.75,,,187.58,7.64
2019-07-14 13:26:02,961.90,31.36,64.94,,,188.22,7.94
2019-07-14 13:26:03,961.30,31.29,65.18,,,193.11,8.47
2019-07-14 13:26:04,960.66,31.22,65.47,,,200.43,9.07
2019-07-14 13:26:05,959.98,31.16,65.76,,,208.75,9.46
2019-07-14 13:26:06,959.27,31.10,66.03,,,217.42,9.53
2019-07-14 13:26:07,958.55,31.05,66.25,,,225.37,9.26
2019-07-14 13:26:08,957.81,30.99,66.42,,,231.49,8.49
2019-07-14 13:26:09,957.00,30.94,66.55,,,235.36,7.30
2019-07-14 13:26:10,956.14,30.88,66.65,,,234.75,5.86
2019-07-14 13:26:11,955.28,30.82,66.75,,,228.28,4.60
2019-07-14 13:26:13,953.71,30.70,67.01,,,215.64,4.46
2019-07-14 13:26:14,953.04,30.64,67.19,,,219.69,5.47
2019-07-14 13:26:15,952.43,30.59,67.37,,,226.91,6.97
2019-07-14 13:26:16,951.85,30.54,67.54,,,232.11,8.64
2019-07-14 13:26:17,951.29,30.50,67.70,,,234.22,10.01
2019-07-14 13:26:18,950.70,30.47,67.83,,,233.86,10.82
2019-07-14 13:26:19,950.05,30.43,67.96,,,230.87,10.85
2019-07-14 13:26:20,949.35,30.39,68.08,,,225.40,10.13
2019-07-14 13:26:21,948.63,30.34,68.20,,,218.28,8.87
2019-07-14 13:26:22,947.98,30.30,68.31,,,210.20,7.28
2019-07-14 13:26:24,946.85,30.20,68.54,,,196.88,4.39
2019-07-14 13:26:25,946.26,30.15,68.67,,,197.23,3.30
2019-07-14 13:26:26,945.61,30.09,68.83,,,206.79,2.65
2019-07-14 13:26:27,944.90,30.03,69.00,,,226.22,2.72
2019-07-14 13:26:28,944.17,29.96,69.17,,,243.97,3.64
2019-07-14 13:26:29,943.46,29.89,69.34,,,253.71,5.16
2019-07-14 13:26:30,942.78,29.82,69.51,,,258.70,6.70
2019-07-14 13:26:31,942.12,29.75,69.69,,,261.87,7.81
2019-07-14 13:26:32,941.45,29.68,69.89,,,263.78,8.33
2019-07-14 13:26:33,940.75,29.61,70.11,,,264.11,8.21
2019-07-14 13:26:34,940.05,29.54,70.33,,,262.06,7.66
2019-07-14 13:26:35,939.38,29.47,70.54,,,256.43,7.14
2019-07-14 13:26:37,938.21,29.34,70.91,,,239.25,7.21
2019-07-14 13:26:38,937.70,29.28,71.09,,,232.49,7.66
2019-07-14 13:26:39,937.21,29.22,71.29,,,227.49,8.22
2019-07-14 13:26:40,936.73,29.17,71.49,,,,
2019-07-14 13:26:41,936.25,29.11,71.71,,,,
